time,amount,merchant_risk,device_score,distance_from_home_km,is_fraud
133272,68.11,8,81,15.68,0
21357,13.25,9,13,3.27,1
119121,128.44,9,71,42.18,0
77505,106.72,3,9,0.83,1
2869,37.88,5,63,32.94,0
50108,35.86,6,99,22.82,0
112296,57.63,6,23,47.02,0
94179,13.99,10,54,45.55,0
90272,34.13,8,47,1.09,0
38467,3.85,6,39,18.8,0
23328,79.56,6,87,2.66,0
91412,6.95,4,26,1.63,0
135059,148.92,7,1,11.89,1
58871,23.8,8,14,2.05,1
153471,26.8,3,96,26.03,0
128391,17.68,7,74,69.44,0
86416,24.83,3,65,16.86,0
70271,136.8,8,69,5.36,0
44064,2.75,1,67,37.06,0
107450,118.74,1,49,38.36,0
171890,46.43,6,50,26.39,0
19830,9.9,10,58,19.1,0
148501,11.3,9,53,40.47,0
137965,177.04,4,91,3.57,0
116381,12.86,6,57,53.65,0
47333,10.45,5,86,58.83,0
134508,103.27,1,18,41.11,0
76213,46.46,6,16,5.77,0
136967,12.96,9,2,39.06,1
150810,41.13,3,13,13.77,1
30746,11.87,3,45,18.07,0
49377,99.57,2,80,36.73,0
54045,95.71,4,72,0.6,0
97888,56.37,10,43,9.02,0
170862,47.54,3,72,33.82,0
107455,192.71,2,54,33.64,0
136672,33.11,1,74,37.77,0
93179,10.16,3,97,3.71,0
171836,51.91,10,31,24.48,0
45714,266.68,6,76,3.17,0
102946,12.0,9,9,30.75,1
109616,23.07,5,73,5.62,0
105983,50.22,3,48,26.77,0
124123,31.38,5,18,12.14,0
149661,12.4,5,94,85.75,0
43484,101.68,5,96,17.34,0
82989,336.99,7,87,20.02,0
36212,40.29,5,11,9.18,1
43525,13.41,7,62,26.52,0
163707,7.04,9,84,13.66,0
63208,42.86,5,19,0.36,0
33828,99.87,2,100,18.76,0
149783,53.26,5,90,35.49,0
3420,33.04,8,74,5.4,0
96752,18.37,4,24,5.0,0
131373,11.11,2,13,18.78,1
115294,76.31,10,46,34.07,0
124019,82.58,3,53,5.74,0
65726,7.06,9,98,53.84,0
141564,162.36,9,29,52.45,0
115668,58.8,8,36,4.48,0
6102,134.24,8,71,6.12,0
118015,8.65,8,94,24.12,0
26641,8.45,8,17,60.62,0
165656,28.53,8,48,24.75,0
163817,54.75,1,77,11.77,0
154165,199.61,6,24,3.7,0
103746,67.09,9,54,12.36,0
36631,25.98,8,95,18.67,0
72991,11.87,3,91,8.04,0
4014,113.3,1,85,14.28,0
11093,12.62,2,1,2.79,1
18070,168.76,2,79,12.04,0
35777,24.92,7,67,1.9,0
56958,162.48,6,6,1.01,1
82074,65.3,2,78,38.93,0
10729,28.88,8,55,4.59,0
158823,19.7,9,38,17.12,0
105864,23.55,7,33,3.23,0
130858,50.82,4,8,6.09,1
105510,35.77,1,90,8.97,0
54748,18.29,4,79,3.1,0
5801,28.06,4,78,0.94,0
150262,35.82,8,20,41.94,0
29592,3.94,4,55,0.24,0
10647,52.36,4,48,1.27,0
139788,12.43,2,83,32.7,0
110627,10.45,10,56,6.63,0
70316,6.13,7,97,25.66,0
2368,5.51,4,100,3.16,0
77575,8.54,6,88,5.42,0
6655,16.3,3,10,17.01,1
70031,233.52,7,52,89.55,0
87922,19.57,6,50,1.53,0
124046,39.56,3,34,10.24,0
144475,49.43,4,36,0.88,0
32097,37.75,10,61,4.44,0
142038,30.65,5,100,47.6,0
124862,10.02,9,16,2.03,0
118834,141.31,6,79,38.88,0
93848,201.78,4,18,3.92,0
52921,6.16,7,71,39.58,0
126141,11.89,2,47,15.44,0
22677,25.03,4,86,42.11,0
55609,12.62,5,32,3.29,0
31024,54.92,4,43,28.71,0
70313,15.99,4,83,22.83,0
127813,288.6,9,40,15.66,1
95285,108.91,2,65,33.28,0
146410,40.96,6,35,20.9,0
113632,92.48,8,69,41.92,0
150580,100.07,8,50,9.6,0
3051,18.84,7,12,17.83,1
114692,14.64,10,76,40.9,0
87235,35.81,4,85,4.84,0
163165,78.39,7,58,13.3,0
170806,38.06,10,83,64.75,0
73523,6.84,6,63,12.83,0
94476,14.84,6,73,5.83,0
17019,30.75,2,49,8.65,0
83613,30.7,8,36,43.27,0
86672,238.06,8,54,61.97,1
73847,8.28,7,47,59.96,0
82750,54.9,9,32,24.01,0
28251,146.81,8,99,14.25,0
103481,321.0,9,95,4.03,1
112566,22.1,9,53,2.63,0
25945,54.13,6,32,1.23,0
90852,58.54,2,62,0.36,0
32217,40.26,7,37,42.09,0
8308,30.0,3,96,33.12,0
5949,51.21,7,38,16.78,0
132222,2.63,9,30,133.27,0
100235,65.5,10,58,61.17,0
74740,37.57,10,32,21.29,0
116352,26.51,2,66,12.49,0
66617,256.43,6,51,3.3,0
16896,16.86,6,11,14.5,1
130798,22.13,9,59,3.43,0
138877,242.63,9,20,10.16,1
5237,14.41,5,37,57.17,0
20056,19.1,5,73,8.37,0
114548,28.59,9,49,3.32,0
111488,76.76,8,19,17.46,0
134415,40.76,7,55,18.44,0
144572,9.09,8,40,4.31,0
29375,19.45,6,7,4.38,1
140734,18.04,3,5,91.22,1
16964,30.65,7,42,5.58,0
113429,50.7,8,88,36.43,0
67215,50.31,8,48,12.71,0
69042,5.61,1,7,11.42,1
144356,95.96,7,11,6.99,1
93468,42.63,3,73,29.73,0
9435,132.23,2,49,42.52,0
78832,51.63,2,30,6.05,0
51293,99.62,8,41,2.0,0
78781,52.8,9,3,2.94,1
160196,127.26,3,86,31.48,0
43919,55.83,3,40,11.45,0
166319,30.03,6,51,2.83,0
121172,321.32,10,84,8.32,1
94758,80.56,1,32,14.44,0
56573,58.78,6,48,38.22,0
59101,9.24,3,71,20.53,0
26646,9.13,4,71,3.87,0
104185,44.38,9,20,3.46,0
23049,38.3,3,89,10.63,0
98116,17.92,1,35,1.56,0
97379,38.13,3,24,28.18,0
68385,162.17,7,40,10.27,0
126131,66.38,7,77,8.4,0
171230,10.58,5,52,14.23,0
23289,29.62,1,39,24.69,0
110226,14.81,8,68,16.85,0
100793,22.47,10,61,32.43,0
9823,21.9,8,76,19.85,0
41975,20.54,10,81,31.02,0
9540,9.44,10,65,23.87,0
16364,29.15,10,62,4.29,0
135683,18.9,2,81,1.08,0
27663,1.77,10,2,46.74,1
51991,258.0,3,6,58.25,1
104182,98.37,4,75,25.96,0
162049,22.73,1,43,25.76,0
94704,33.74,4,82,6.3,0
49115,10.26,5,40,15.64,0
91007,180.5,3,89,97.17,0
149143,220.81,10,39,38.78,1
11938,38.73,2,28,7.26,0
166267,92.16,6,80,7.16,0
91680,39.46,8,63,13.22,0
4000,8.7,7,64,10.37,0
101042,21.94,1,12,9.28,1
93610,37.79,4,41,19.72,0
103691,21.02,3,29,0.23,0
38304,26.61,6,23,28.82,0
69449,30.22,9,85,26.95,0
82986,30.54,9,80,35.48,0
151836,34.89,7,51,36.83,0
108940,11.47,9,45,16.71,0
38494,16.17,8,90,30.29,0
3373,9.17,5,22,13.56,0
143233,88.04,9,10,60.54,1
97532,4.03,7,7,4.23,1
92658,104.96,5,73,49.45,0
123633,132.47,8,89,5.98,0
100386,24.48,7,15,2.17,0
27350,2.45,9,77,11.56,0
93008,23.07,10,46,19.09,0
94297,31.06,1,90,5.25,0
25351,12.05,9,85,16.23,0
88668,19.78,7,87,32.99,0
114585,152.96,1,61,5.94,0
146377,64.39,1,92,17.37,0
75353,13.14,5,61,8.29,0
65953,6.7,8,51,15.09,0
57458,23.88,9,38,21.99,0
20358,26.75,6,12,8.63,1
3267,54.39,10,88,104.0,0
82745,19.39,8,77,16.59,0
89588,55.23,6,66,34.8,0
38513,229.33,6,54,25.83,0
157164,74.85,4,39,38.32,0
11338,31.56,5,76,3.82,0
131484,27.57,2,39,5.03,0
7543,23.18,3,78,13.37,0
105891,107.84,3,30,38.26,0
164568,17.68,5,48,4.4,0
60692,34.65,5,83,70.85,0
44425,34.86,6,31,2.73,0
38756,20.05,5,25,3.85,0
18888,8.39,6,68,3.66,0
166807,45.74,8,51,17.64,0
47295,31.16,2,13,49.91,1
114352,54.61,4,100,5.89,0
83042,19.42,6,63,16.11,0
85999,112.26,5,42,3.87,0
17955,13.78,1,54,19.95,0
37841,183.47,9,67,2.63,0
70640,5.77,3,80,13.52,0
165983,51.15,2,90,21.29,0
138429,53.27,9,56,17.31,0
163551,14.95,7,19,3.02,0
61476,50.62,5,46,3.52,0
44811,119.05,6,15,22.26,0
167280,3.61,4,32,33.1,0
151222,54.75,1,49,47.74,0
71180,2.74,4,21,33.6,0
112856,12.61,9,65,72.93,0
68450,168.88,1,70,10.49,0
152424,18.51,10,27,8.04,0
111888,10.24,3,23,0.57,0
110448,27.17,5,47,11.95,0
14397,261.89,7,95,21.07,0
172627,5.3,9,12,33.79,1
131800,11.57,6,85,6.22,0
119180,148.03,3,66,14.41,0
66234,212.24,7,5,21.69,1
39954,29.86,4,9,16.04,1
79459,9.59,3,20,6.4,0
147851,269.3,7,82,31.82,0
155538,163.11,7,63,3.81,0
168011,65.3,4,86,47.07,0
166342,14.7,7,72,60.98,0
59163,31.53,2,98,9.1,0
51934,28.21,1,73,9.44,0
163379,46.1,2,71,27.2,0
54098,141.32,4,30,12.19,0
5486,79.79,8,82,0.58,0
139407,11.28,3,91,50.48,0
86900,131.17,10,16,11.27,0
126020,45.29,6,85,4.55,0
102795,65.83,6,5,16.22,1
142202,143.53,9,29,4.94,0
87508,10.9,9,47,4.61,0
118324,31.95,4,22,15.78,0
60566,19.46,9,78,9.92,0
27192,6.9,6,57,17.02,0
1062,46.84,2,83,115.05,0
84076,408.12,10,35,39.18,1
89780,5.26,6,88,0.15,0
152617,32.06,2,60,1.04,0
21689,62.84,8,70,18.84,0
11174,37.45,4,60,19.68,0
88461,29.57,5,58,42.11,0
126174,9.03,8,3,19.83,1
103033,41.8,8,34,5.17,0
9348,15.54,6,45,12.64,0
154786,3.71,4,50,33.11,0
38102,109.35,1,2,51.23,1
74460,86.35,7,15,5.41,0
102634,34.87,8,37,15.51,0
89930,41.64,9,15,3.46,0
6801,96.96,2,60,13.74,0
103150,41.44,1,96,1.89,0
154697,81.78,4,85,56.85,0
1542,24.59,5,64,20.33,0
21677,122.98,10,81,38.51,0
39081,45.64,1,98,127.49,0
93105,40.21,5,96,4.03,0
19065,9.3,6,52,23.69,0
88092,44.12,3,23,43.6,0
54693,14.41,7,99,17.16,0
26962,17.49,6,37,20.42,0
28295,14.65,4,41,10.47,0
13807,11.4,3,57,22.46,0
157504,277.21,5,97,10.07,0
171334,125.38,3,25,12.95,0
168152,225.96,10,37,2.17,1
132396,9.75,9,40,0.16,0
91267,35.56,9,85,1.13,0
166981,9.08,6,46,4.28,0
19870,16.52,6,60,12.2,0
165650,13.22,4,98,0.42,0
26790,114.39,4,19,3.39,0
118874,22.28,2,91,30.41,0
25289,96.39,10,9,28.72,1
15485,60.59,4,69,31.19,0
44482,331.5,8,5,50.9,1
86188,7.54,10,89,2.54,0
4748,116.66,2,26,3.56,0
140507,104.21,9,19,8.12,0
3709,12.51,1,30,49.34,0
123961,90.66,2,100,29.88,0
30355,46.35,2,48,7.83,0
144188,26.38,6,16,1.83,0
156542,14.53,7,71,19.16,0
42918,16.13,3,18,5.94,0
52224,257.19,9,56,15.15,1
39298,33.14,5,21,56.88,0
80219,72.39,5,31,17.0,0
61629,15.02,4,1,51.5,1
66040,15.18,9,3,9.99,1
28016,97.71,8,95,20.07,0
23960,8.59,4,25,44.87,0
33591,21.86,4,8,17.73,1
103333,34.26,2,65,19.08,0
114821,37.02,9,62,25.2,0
36395,27.69,3,7,42.76,1
129695,49.2,4,7,1.85,1
153772,66.21,7,8,8.22,1
34620,69.04,10,19,10.14,0
128148,12.36,8,17,48.09,0
20559,24.92,8,11,62.47,1
93396,109.37,4,49,2.57,0
21732,81.02,7,11,2.54,1
91362,8.39,10,41,54.62,0
161426,47.06,1,62,7.01,0
13843,4.58,6,52,5.54,0
114065,34.71,6,66,0.73,0
71726,220.91,6,68,6.45,0
17640,12.83,2,92,23.65,0
52528,14.38,8,97,11.1,0
38413,71.1,5,75,14.55,0
52638,7.08,5,67,49.85,0
110133,17.59,2,40,2.44,0
106357,60.13,4,5,1.48,1
150159,17.56,9,85,38.2,0
172502,26.15,9,22,29.82,0
155576,69.7,6,37,6.12,0
138186,50.48,9,11,7.84,1
78859,43.24,4,44,7.43,0
99657,23.59,1,86,20.87,0
142047,47.95,2,53,1.26,0
11023,29.26,1,77,13.44,0
21447,52.34,8,61,2.87,0
125899,20.15,9,67,34.27,0
23959,27.59,10,13,9.58,1
66203,12.31,6,92,15.0,0
119156,31.98,2,11,0.6,1
160775,14.72,6,11,1.2,1
9337,10.87,9,85,22.48,0
46427,42.89,3,85,29.11,0
61529,40.97,9,7,24.76,1
102023,72.45,2,17,26.71,0
84665,21.52,5,48,2.21,0
105787,49.8,2,14,23.65,1
162993,57.44,7,63,4.01,0
33307,51.66,10,64,2.06,0
158427,14.5,9,97,28.31,0
127016,38.45,7,75,44.04,0
4835,47.66,5,77,25.23,0
20159,33.35,4,65,32.75,0
121790,4.11,4,34,94.41,0
105616,38.88,10,9,2.89,1
169160,302.64,8,77,67.14,1
78752,23.1,10,37,18.39,0
55284,15.99,10,30,33.56,0
57043,48.1,10,41,21.01,0
166619,45.26,10,45,16.88,0
97007,109.15,10,47,24.32,0
82844,9.41,1,7,7.72,1
27532,68.81,5,14,51.61,1
165421,59.77,2,48,2.45,0
122402,28.73,9,6,7.66,1
118012,46.46,7,34,0.63,0
136785,92.71,10,80,6.33,0
56178,79.23,8,100,4.92,0
49407,10.56,6,46,1.02,0
50990,75.2,9,59,13.54,0
129473,31.04,6,70,12.65,0
58141,35.62,7,8,1.62,1
154865,35.63,7,24,6.07,0
56570,28.5,9,67,61.29,0
168964,109.04,8,4,2.35,1
1015,30.46,1,96,7.28,0
61813,10.81,4,1,0.73,1
27712,22.34,7,34,3.22,0
100497,39.59,8,9,24.04,1
139487,113.21,7,63,9.14,0
112816,60.53,3,76,12.03,0
128778,14.15,4,10,3.42,1
62292,397.5,7,10,22.92,1
23833,43.15,8,50,27.85,0
135230,118.56,7,44,4.0,0
20309,28.45,6,48,0.92,0
6970,56.45,9,87,1.69,0
72474,76.67,9,6,21.4,1
46540,111.97,7,88,2.91,0
151456,95.33,8,24,13.62,0
18017,79.22,6,85,3.31,0
75880,24.17,1,95,3.73,0
105570,18.69,1,58,0.09,0
8702,46.18,6,64,7.74,0
131456,84.19,2,94,1.88,0
404,26.5,8,56,10.02,0
172015,96.08,1,98,18.22,0
160261,141.54,2,82,9.16,0
12763,13.25,8,12,24.42,1
149456,14.34,6,35,27.05,0
98142,28.78,10,71,23.85,0
140932,45.04,2,89,55.2,0
80642,19.6,2,6,5.42,1
50612,128.02,7,65,4.2,0
23574,50.61,5,80,18.82,0
23524,34.45,5,60,18.07,0
10916,7.88,8,68,14.27,0
4809,8.88,7,29,0.09,0
163273,43.86,9,38,16.2,0
144528,3.93,4,92,54.0,0
121288,91.16,10,22,8.15,0
38765,28.27,4,8,68.59,1
165888,848.18,2,63,8.82,0
45106,332.92,3,96,3.01,0
53932,27.62,1,97,10.16,0
148172,29.77,1,13,13.65,1
57091,89.62,7,27,19.86,0
21949,181.85,5,18,14.06,0
37744,6.44,3,18,15.39,0
108319,5.55,7,77,0.49,0
92193,17.78,2,86,5.85,0
36187,59.31,3,62,7.44,0
138311,54.43,1,14,86.99,1
124454,96.52,8,11,7.01,1
14489,9.98,2,86,45.38,0
61877,3.27,7,100,7.27,0
49922,78.1,9,17,2.02,0
94074,14.47,6,51,5.69,0
163121,4.4,2,96,6.37,0
37131,38.29,2,14,76.56,1
115765,73.2,9,57,22.44,0
73963,29.31,10,93,53.67,0
106884,20.95,8,6,36.04,1
125917,28.24,9,57,17.28,0
24285,22.86,4,4,22.5,1
37626,8.6,4,11,19.61,1
19198,16.2,2,74,21.95,0
150830,55.77,10,92,6.15,0
15254,45.68,1,11,10.49,1
44238,39.18,10,99,17.96,0
1252,12.24,4,79,0.73,0
39764,27.62,10,8,13.19,1
77709,3.75,10,84,39.28,0
168513,39.59,8,59,13.56,0
53682,138.22,2,21,16.07,0
59494,7.58,8,65,4.51,0
81317,18.43,1,93,31.63,0
65215,46.02,1,24,8.89,0
78587,115.91,4,30,62.74,0
6949,21.15,7,99,101.39,0
55393,16.57,9,97,49.54,0
138013,4.62,5,84,1.77,0
25934,36.72,2,57,8.1,0
154458,255.21,7,80,58.06,0
75745,43.7,2,73,32.65,0
94456,32.39,9,95,48.42,0
53413,45.7,9,17,17.0,0
97239,32.75,3,59,13.09,0
42318,14.69,8,31,2.25,0
70390,75.44,4,64,36.59,0
43088,41.5,3,48,27.34,0
103196,33.7,1,23,1.21,0
170883,12.49,5,70,4.7,0
55479,121.94,4,30,16.3,0
19963,64.37,1,55,23.07,0
55123,19.05,10,7,2.96,1
125911,90.18,8,75,5.62,0
102468,20.13,8,98,4.29,0
73477,15.15,8,12,4.97,1
14388,15.49,3,60,50.69,0
5569,5.63,6,52,25.16,0
69836,53.07,7,27,26.72,0
104573,5.31,9,12,31.6,1
167658,9.69,5,13,8.82,1
143087,4.16,9,72,29.15,0
45002,30.38,6,80,76.71,0
137326,28.49,10,62,23.97,0
148216,23.89,10,29,10.78,0
155286,11.67,10,35,25.2,0
137162,10.26,4,60,46.21,0
142709,52.69,1,29,2.76,0
153487,19.1,1,31,6.17,0
24071,45.44,10,77,50.34,0
58243,13.66,5,76,58.46,0
125827,39.69,3,61,13.24,0
108215,121.91,5,2,9.39,1
172312,59.51,5,33,6.65,0
101570,21.92,1,72,13.81,0
164506,42.83,8,62,54.52,0
69724,26.03,5,59,3.25,0
115359,33.38,5,40,10.89,0
75697,23.91,9,49,48.52,0
28732,28.1,8,32,8.59,0
121465,40.94,1,38,29.23,0
142386,12.26,3,92,9.86,0
155026,11.99,7,79,32.69,0
57108,8.26,1,87,79.27,0
111195,6.68,1,88,9.81,0
103081,9.8,5,13,37.3,1
36668,38.84,9,85,89.16,0
23061,13.56,6,54,82.49,0
79252,55.35,10,76,11.38,0
39749,34.29,2,13,13.3,1
130560,4.63,9,39,7.23,0
104680,63.75,6,23,7.54,0
147979,74.5,5,92,13.56,0
149849,12.26,5,14,4.48,1
51745,50.41,3,17,24.84,0
108464,14.06,6,24,15.37,0
91865,36.51,4,58,45.67,0
112428,9.35,10,63,33.28,0
23624,5.51,2,34,7.79,0
23321,22.58,3,51,14.1,0
141560,29.26,9,86,27.77,0
22574,22.25,9,10,4.29,1
136312,10.13,6,72,0.64,0
141550,22.2,10,21,38.25,0
150334,43.35,10,37,2.96,0
118831,31.66,9,7,44.04,1
135504,39.75,4,90,48.98,0
95257,16.94,5,13,12.35,1
64291,106.88,10,80,32.88,0
